qc_id,objectid,region_nam,parent_cod,district,code,mahalla_no,shape_leng,shape_area,mfy_id,social_dat,social_d_1,social_d_2,social_d_3,social_d_4,social_d_5,social_d_6,social_d_7,social_d_8,social_d_9,social_d10,social_d11,social_d12,social_d13,population,area,density,NDVI_mean,NDVI_mean_1
213,650,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Kichik Guldursun MFY,0.231142942,0.0016909,23120022,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,КИЧИК ГУЛДУРСИН,1735,1735250,638,629,"1,002",265,17,26,320,232,142,"1,405",15631833.56,8.99E-08,2836.931152,0.283693115
214,651,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Guliston OFY,0.423230429,0.0071999,23120008,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,ГУЛИСТОН,1735,1735250,799,777,"1,380",703,15,13,258,341,50,"1,836",66369547.77,2.77E-08,2509.078857,0.250907886
215,652,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Qilichinоq OFY,0.502227641,0.003932543,23120020,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,КИЛЧИНОҚ,1735,1735250,878,851,"1,374",581,27,6,315,212,233,"1,962",36339435.52,5.40E-08,2397.771729,0.239777173
216,653,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Do‘stlik OFY,0.540973317,0.005377595,23120010,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,Дўстлик,1735,1735250,853,842,"1,392",528,29,22,313,368,132,"1,903",49676261.18,3.83E-08,2204.422852,0.220442285
217,654,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Tоzаbоg‘ OFY,0.523116691,0.003829571,23120030,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,ТОЗА БОҒ,1735,1735250,"1,007",995,"1,596",504,13,14,512,470,83,"2,118",35360466.92,5.99E-08,2418.443848,0.241844385
220,657,Qoraqalpog'iston Respublikasi,1735,Ellikqal'a tumani,1735250,Abay MFY,0.055782202,9.67E-05,23120002,QORAQALPOG'ISTON RESPUBLIKASI,ELLIKQAL'A tuman,АБАЙ,1735,1735250,266,257,353,154,8,4,83,40,64,536,891657.6743,0.000601128,2021.383545,0.202138354
221,658,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Qaraoy OFY,0.738331321,0.009070056,23070012,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,КАРА ОЙ,1735,1735230,483,415,969,369,19,23,63,189,306,"1,257",82067779.78,1.53E-08,2633.022705,0.263302271
222,659,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Ozbekstan MFY,0.312396254,0.003111197,23070017,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,ОЗБEКИСТАН,1735,1735230,247,230,498,161,13,14,39,164,107,651,28163376.32,2.31E-05,2941.704346,0.294170435
223,660,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Atakol OFY,0.65148054,0.015897989,23070003,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,АТАКОЛ,1735,1735230,419,391,736,236,8,17,71,194,210,983,144099355.2,6.82E-06,2576.174316,0.257617432
224,661,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Garezsizlik MFY,0.097190912,0.000272908,23070005,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,ГАРEЗСИЗЛИК,1735,1735230,454,392,788,315,9,15,89,149,211,"1,076",2471019.121,4.35E-07,2582.343262,0.258234326
